; alternate spellings for mw headwords
; Part 1:  based on pw prefixed verbs, which also occur in mw
;  but with different spelling.
; The prefixed verb records are sub-headwords of pw verb records,
; but in mw, they are separate headwords.
; format:  mw spelling <tab> alternate pw spelling
; ---------------------------------------------------
; ---------------------------------------------------
samanugrah	samanugraB
apagrah	apagraB
apigrah	apigraB
aBigrah	aBigraB
avagrah	avagraB
pratyavagrah	pratyavagraB
vyavagrah	vyavagraB
Agrah	AgraB
upAgrah	upAgraB
samAgrah	samAgraB
udgrah	udgraB
upodgrah	upodgraB
pratyudgrah	pratyudgraB
samudgrah	samudgraB
upagrah	upagraB
nigrah	nigraB
upanigrah	upanigraB
pratinigrah	pratinigraB
vinigrah	vinigraB
saMnigrah	saMnigraB
nirgrah	nirgraB
pratinirgrah	pratinirgraB
parigrah	parigraB
saMparigrah	saMparigraB
pragrah	pragraB
paripragrah	paripragraB
pratipragrah	pratipragraB
sampragrah	sampragraB
pratigrah	pratigraB
upapratigrah	upapratigraB
sampratigrah	sampratigraB
vigrah	vigraB
samgrah	samgraB
anusamgrah	anusamgraB
apisamgrah	apisamgraB
aBisamgrah	aBisamgraB
upasamgrah	upasamgraB
pratisamgrah	pratisamgraB
sahagrah	sahagraB
avaglE	avaglA
pariglE	pariglA
aBipariglE	aBipariglA
praglE	praglA
avaGfz	avaGarz
AGfz	AGarz
udGfz	udGarz
samudGfz	samudGarz
niGfz	niGarz
saMniGfz	saMniGarz
nirGfz	nirGarz
pariGfz	pariGarz
praGfz	praGarz
sampraGfz	sampraGarz
viGfz	viGarz
samGfz	samGarz
aBiGAtaya	aBiGAtay
avaGAtaya	avaGAtay
vyAGAtaya	vyAGAtay
upodGAtaya	upodGAtay
niGAtaya	niGAtay
nirGAtaya	nirGAtay
pratiGAtaya	pratiGAtay
viGAtaya	viGAtay
AcaraRya	AcaraRy
utcaraRya	utcaraRy
aticft	aticart
avacft	avacart
Acft	Acart
upacft	upacart
nicft	nicart
niscft	niscart
paricft	paricart
pracft	pracart
vicft	vicart
saMcft	saMcart
utcitraya	utcitray
aticitrIya	aticitrIy
aBicihnaya	aBicihnay
avacUrR	avacUrRay
vinicUrR	vinicUrRay
pracUrR	pracUrRay
ACfd	ACard
pracCfd	pracCard
upacCal	upacCalay
anuCo	anuCA
avacCo	avacCA
ACo	ACA
pracCo	pracCA
anujf	anujar
nirjf	nirjar
parijf	parijar
prajf	prajar
samjf	samjar
avajfmB	avajramB
aBijfmB	aBijramB
vyAjfmB	vyAjramB
udjfmB	udjramB
samudjfmB	samudjramB
parijfmB	parijramB
prajfmB	prajramB
vijfmB	vijramB
pravijfmB	pravijramB
samjfmB	samjramB
utwaNk	utwaNkay
niswaNk	niswaNkay
viwaNk	viwaNkay
atitF	atitar
vyatitF	vyatitar
anutF	anutar
apatF	apatar
aBitF	aBitar
avatF	avatar
samavatF	samavatar
AtF	Atar
aByAtF	aByAtar
uttF	uttar
aByuttF	aByuttar
prottF	prottar
pratyuttF	pratyuttar
samuttF	samuttar
upatF	upatar
nitF	nitar
nistF	nistar
paritF	paritar
pratF	pratar
aBipratF	aBipratar
upapratF	upapratar
vipratF	vipratar
sampratF	sampratar
pratitF	pratitar
vitF	vitar
pravitF	pravitar
saMtF	saMtar
anusaMtF	anusaMtar
aBisaMtF	aBisaMtar
atitfd	atitard
anutfd	anutard
aBitfd	aBitard
avatfd	avatard
Atfd	Atard
uttfd	uttard
upatfd	upatard
nitfd	nitard
paritfd	paritard
pratfd	pratard
sampratfd	sampratard
vitfd	vitard
saMtfd	saMtard
atitfp	atitarp
anutfp	anutarp
apatfp	apatarp
aBitfp	aBitarp
avatfp	avatarp
Atfp	Atarp
nitfp	nitarp
paritfp	paritarp
pratfp	pratarp
vitfp	vitarp
saMtfp	saMtarp
anutfz	anutarz
paritfz	paritarz
vitfz	vitarz
nistfh	nistarh
vitfh	vitarh
paritrE	paritrA
saMtrE	saMtrA
anudF	anudar
apadF	apadar
avadF	avadar
vyavadF	vyavadar
AdF	Adar
uddF	uddar
nidF	nidar
nirdF	nirdar
paridF	paridar
pradF	pradar
aBipradF	aBipradar
pratidF	pratidar
vidF	vidar
udvidF	udvidar
pravidF	pravidar
Adf	Adar
atyAdf	atyAdar
