kuberaH,kuveraH
KarbbaH,KarvvaH
garbba,garvva
garbba,garvva
garbbaH,garvvaH
baka,vaka
baBra,vaBra
bAqa,vAqa
bADa,vADa
bAspaH,vAspaH
mekalakanyakA,meKalakanyakA
vada,bada
vada,bada
vArdDrInasaH,vArdDrIRasaH
vAlakaH,bAlakaH
vAhAvAhavi,bAhAbAhavi
vAhuH,bAhuH
vAhumUlaM,bAhumUlaM
vAhulaH,bAhulaH
vudDiH,budDiH
vOdDaM,bOdDaM
SaraBaH,SalaBaH
sAyakaH,SAyakaH
sIraH,SIraH
