campUrAmAyaRa,BojacampU
calAkzara,rAvaRaBEw
cAritravarDana,vidyADara
cAritravarDana,sAhityavidyADara
citrakarmaSilpaSAstra,brAhmIyaSilpa
citrarUpavAda,citrarUpavicAra
cidambarasmfti,smftidarpaRa
cidAnandastavarAja,cidAnandadaSaSlokI
cintAmaRisAraRikA,tiTisAraRikA
cinnamBawwa,cennuBawwa
cOrIsuratapaYcASikA,cOrapaYcASikA
CandogapariSizwa,karmapradIpa
CAndogyabrAhmaRa,upanizadbrAhmaRa
CAndogyabrAhmaRa,mantrabrAhmaRa
jagannATamAhAtmya,mukticintAmaRi
jayasiMhakalpadruma,vratakalpadruma
jAtakapadDati,keSavI
jAtakapadDati,SiSusOKya
jEnendravyAkaraRa,paYcADyAyI
jEminIyanyAyamAlAvistara,nyAyamAlAvistara
jYAnadeva,dAmodara
jYAnaprakASaSataka,jYAnaSataka
jYAnaBAskara,sUryAruRasaMvAda
jYAnarAja,jYAnADirAja
jyotizaratnamAlA,ratnamAlA
wupwIkA,laGuvArttika
tattvacintAmaRi,cintAmaRi
tattvacintAmaRi,maRi
tattvacintAmaRidIDiti,SiromaRi
tattvacintAmaRyAloka,tattvacintAmaRiprakASa
tattvadIpikA,citsuKI
tattvaprakASa,tattvaprakASikA
tattvaprakASa,SivatattvaprakASikA
tattvaboDa,tattvAvaboDa
tattvArRava,tattvAmftaprakASinI
tantracUqAmaRi,DarmamImAMsAsaMgraha
tantravArtika,mImAMsAtantravArttika
tarkaBAzA,tarkapariBAzA
tarkaBAzAprakASa,tarkAnuBAzya
talavakArabrAhmaRa,jEminIyabrAhmaRa
tAjaka,tAjika
tAjikatantrasAra,gaRakaBUzaRa
tAjikatantrasAra,karmaprakASa
tAjikAlaMkAra,boDasuDAkara
tARqyabrAhmaRa,paYcaviMSabrAhmaRa
tARqyabrAhmaRa,mahAbrAhmaRa
tAtayajvan,tAtArya
tArArahasyavfttikA,vAsanAtattvaboDikA
tulAmAsamAhAtmya,tulAmAhAtmya
triMSacClokI,ASOcatriMSacClokI
trikARqaSeza,amaraSeza
triliNganirRayodAharaRa,ratnakoSa
trivikramaSataka,SataSlokI
triveRikA,SabdatriveRikA
dakziRakAlikAnityapUjAviDi,kAlikArcAdIpikA
dakziRakAlIpUjApadDati,SyAmAratna
daRqADinATa,BAskara
dattakamImAMsA,putrIkaraRamImAMsA
damayantIkaTA,damayantIcampU
damayantIkaTA,nalacampU
daSarUpa,daSarUpaka
daSaSlokI,sidDAntaratna
daSADyAyI,nOkA
dAnakOmudI,dAnakriyAkOmudI
dAnapaYjI,dAnapaYjikA
dAnavivekoddyota,dAnoddyota
dinakaroddyota,SivadyumaRidIpikA
divAkara,dinakara
dIpavyAkaraRa,vyAkaraRadIpa
durgAvatIprakASa,samayAloka
durgotsavatattva,durgAtattva
dfzwAntakalikA,dfzwAntaSataka
devanandin,digvastra
devanandin,pUjyapAda
devapratizWAtattva,pratizWAtattva
devImAhAtmya,caRqI
devImAhAtmya,caRqImAhAtmya
devImAhAtmya,durgAmAhAtmya
devendra,rAmendravana
deveSvara,devendra
dravyaguRaSataSlokI,SataSlokI
dvAdaSamaYjarI,dvAdaSamaYjarikA
DaneSa,DaneSvara
DarmadvEtanirRaya,dvEtanirRaya
DarmamImAMsAsaMgraha,tantracUqAmaRi
DAturUpa,AKyAtavyAkaraRa
DAturUpAvalI,rUpAvalI
DAtuvfttimADavIyA,mADavIyaDAtuvftti
DvanyAloka,sahfdayahfdayAloka
nandapaRqita,vinAyakapaRqita
nandikeSvarapurARa,nandISvarapurARa
nandikeSvarapurARa,nandipurARa
narakAsuravaDa,narakAsuravijaya
narapati,harivaMSakavi
narapatijayacaryA,svarodaya
narasiMha,nfsiMhaAcArya
narasiMhasUri,nfsiMha
narasiMha,nfsiMha
narahari,nfsiMha
narahari,sarasvatItIrTa
narahari,nfhari
narahari,nfsiMha
navAhnikaBAzya,BAzyanavAhnika
navyamatavAda,navyamatavicAra
nAgeSaBawwa,nAgojIBawwa
nAradapurARa,nAradIyapurARa
nAradapurARa,bfhannAradapurARa
nArAyaRatIrTa,nArAyaRamuni
niGaRwu,nEGaRwuka
nityanATa,nityanATasidDa
nityanATa,nemanATasidDa
nityAnanda,nityAnandASrama
nimbAditya,nimbArka
nimbAditya,niyamAnanda
nirvikalpavAd,nirvikalpavicAra
nIlakaRWavijayacampU,nIlakaRWacampU
nIlamatapurARa,kASmIramAhAtmya
nfsiMha,narasiMha
nfsiMhapurARa,narasiMhapurARa
nEzaDIyacarita,nEzaDacarita
nOkA,daSADyAyI
nyAyakusumAYjali,kusumAYjali
nyAyapadArTadIpikA,padArTadIpikA
nyAyaratna,nyAyasaMgraha
nyAyaratnAkara,navayogakallola
nyAyavAcaspati,vAcaspati
nyAyasidDAntamaYjarI,nyAyamaYjarI
nyAyasidDAntamAlA,nyAyamAlA
pakzatAvAda,pakzatAvicAra
paYcatantra,paYcopAKyAna
paYcapAdikA,vivaraRacatuHsUtrI
padArTaKaRqana,padArTatattva
padArTamaRimAlA,padArTamAlA
padArTamAlA,padArTaprakASa
padArTaviveka,sidDAntatattva
padmagupta,parimala
padmapAda,pAdapadma
padyaprasUnAYjali,vizRusahasranAmastotra
paramAnandASrama,cidAnandASrama
paramArTasAra,ADArakArikAH
parAmArTasAra,SezAryA
parameSvarIdAsAbDi,smftisaMgraha
parArahasya,parAcintAmaRi
parArahasya,sOBAgyacintAmaRi
parASaravijaya,pArASaryavijaya
parimala,padmagupta
pAYcarAtra,pAYcarAtrAgama
pAdmasaMhitA,pAYcarAtramahopanizad
pArASara,pArASarI
pArASara,pArASarasUtra
piSAcaBAzya,pESAcaBAzya
puruzottamaprasAda,puruzottamAcArya
pEppalAdopanizad,SaraBopanizad
prakASAtmanyati,svAmin
pragalBaAcArya,SuBaMkara
pracaRqapARqava,bAlaBArata
pratApanArasiMha,saMskAraprakASa
