; Case 001  akz  2 (0/2)
17        nis        tar               nistar                nistF yes
18       pari        tar              paritar               paritF no
19        pra        tar               pratar                pratF yes
20     aBipra        tar            aBipratar             aBipratF no
21     upapra        tar            upapratar             upapratF yes
22      vipra        tar             vipratar              vipratF no
23     saMpra        tar            sampratar             sampratF yes
24      prati        tar             pratitar              pratitF no
25         vi        tar                vitar                 vitF yes
26      pravi        tar             pravitar              pravitF no
27        sam        tar               saMtar                saMtF yes
28     anusam        tar            anusaMtar             anusaMtF yes
29     aBisam        tar            aBisaMtar             aBisaMtF yes
; Case 251  tark  9 (7/2)
01        anu       tark              anutark              anutark yes
02        nis       tark              nistark              nistark no
03       pari       tark             paritark             paritark yes
04        pra       tark              pratark              pratark yes
05     saMpra       tark           sampratark           sampratark yes
06      prati       tark            pratitark            pratitark no
07         vi       tark               vitark               vitark yes
08      saMvi       tark            saMvitark            saMvitark yes
09        sam       tark              saMtark              saMtark yes
; Case 252  tarj  7 (5/2)
01        aBi       tarj              aBitarj              aBitarj yes
02     samaBi       tarj           samaBitarj           samaBitarj yes
03          A       tarj                Atarj                Atarj yes
04         ud       tarj               uttarj               uttarj no
05       pari       tarj             paritarj             paritarj yes
06         vi       tarj               vitarj               vitarj no
07        sam       tarj              saMtarj              saMtarj yes
; Case 253  tard  13 (12/1)
01        ati       tard              atitard               atitfd yes
02        anu       tard              anutard               anutfd yes
03        aBi       tard              aBitard               aBitfd yes
04        ava       tard              avatard               avatfd yes
05          A       tard                Atard                 Atfd yes
06         ud       tard               uttard                uttfd yes
07        upa       tard              upatard               upatfd yes
08         ni       tard               nitard                nitfd yes
09       pari       tard             paritard              paritfd yes
10        pra       tard              pratard               pratfd yes
11     saMpra       tard           sampratard            sampratfd no
12         vi       tard               vitard                vitfd yes
13        sam       tard              saMtard               saMtfd yes
; Case 254  tarp  11 (10/1)
01        ati       tarp              atitarp               atitfp yes
02        anu       tarp              anutarp               anutfp yes
03        apa       tarp              apatarp               apatfp yes
04        aBi       tarp              aBitarp               aBitfp yes
05        ava       tarp              avatarp               avatfp no
06          A       tarp                Atarp                 Atfp yes
07         ni       tarp               nitarp                nitfp yes
08       pari       tarp             paritarp              paritfp yes
09        pra       tarp              pratarp               pratfp yes
10         vi       tarp               vitarp                vitfp yes
11        sam       tarp              saMtarp               saMtfp yes
; Case 255  tarz  3 (1/2)
01        anu       tarz              anutarz               anutfz no
02       pari       tarz             paritarz              paritfz no
03         vi       tarz               vitarz                vitfz yes
; Case 256  tarh  2 (0/2)
01        nis       tarh              nistarh               nistfh no
02         vi       tarh               vitarh                vitfh no
; Case 257  tAy  2 (1/1)
01         vi        tAy                vitAy                vitAy no
02        sam        tAy               saMtAy               saMtAy yes
; Case 258  tij  4 (3/1)
01         ud        tij                uttij                uttij yes
02         ni        tij                nitij                nitij no
03      prati        tij             pratitij             pratitij yes
04        sam        tij               saMtij               saMtij yes
; Case 259  til  1 (1/0)
01        pra        til               pratil               pratil yes
; Case 260  tu  2 (1/1)
01         ud         tu                 uttu                 uttu yes
02        sam         tu                saMtu                saMtu no
; Case 261  tuj  1 (0/1)
01          A        tuj                 Atuj                 Atuj no
; Case 262  tud  12 (9/3)
01        anu        tud               anutud               anutud no
02        ava        tud               avatud               avatud no
03          A        tud                 Atud                 Atud yes
04         ud        tud                uttud                uttud yes
05         ni        tud                nitud                nitud yes
06      anuni        tud             anunitud             anunitud yes
07        nis        tud               nistud               nistud yes
08       pari        tud              paritud              paritud yes
09        pra        tud               pratud               pratud yes
10      prati        tud             pratitud             pratitud no
11         vi        tud                vitud                vitud yes
12        sam        tud               saMtud               saMtud yes
; Case 263  tump  1 (0/1)
01        pra       tump              pratump              pratump no
; Case 264  turv  1 (1/0)
01        pra       turv              praturv              praturv yes
; Case 265  tul  3 (3/0)
01          A        tul                 Atul                 Atul yes
02         ud        tul                uttul                uttul yes
03        sam        tul               saMtul               saMtul yes
; Case 266  tuS  1 (1/0)
01         ni        tuS                nituS                nituS yes
; Case 267  tuz  6 (6/0)
01        aBi        tuz               aBituz               aBituz yes
02        upa        tuz               upatuz               upatuz yes
03       pari        tuz              parituz              parituz yes
04        pra        tuz               pratuz               pratuz yes
05     saMpra        tuz            sampratuz            sampratuz yes
06        sam        tuz               saMtuz               saMtuz yes
; Case 268  tyaj  9 (6/3)
01        aBi       tyaj              aBityaj              aBityaj yes
02     samaBi       tyaj           samaBityaj           samaBityaj yes
03         ni       tyaj               nityaj               nityaj no
04        nis       tyaj              nistyaj              nistyaj yes
05       pari       tyaj             parityaj             parityaj yes
06    saMpari       tyaj          saMparityaj          saMparityaj no
07         vi       tyaj               vityaj               vityaj no
08        sam       tyaj              saMtyaj              saMtyaj yes
09     aBisam       tyaj           aBisaMtyaj           aBisaMtyaj yes
; Case 269  trap  2 (2/0)
01        apa       trap              apatrap              apatrap yes
02      vyapa       trap            vyapatrap            vyapatrap yes
; Case 270  tras  12 (9/3)
01        apa       tras              apatras              apatras yes
02        ava       tras              avatras              avatras no
03         ud       tras               uttras               uttras yes
04       vyud       tras             vyuttras             vyuttras yes
05      samud       tras            samuttras            samuttras yes
06        nis       tras              nistras              nistras yes
07       parA       tras             parAtras             parAtras yes
08       pari       tras             paritras             paritras no
09        pra       tras              pratras              pratras yes
10         vi       tras               vitras               vitras yes
11        sam       tras              saMtras              saMtras yes
12     aBisam       tras           aBisaMtras           aBisaMtras no
; Case 271  trA  2 (2/0)
01       pari        trA              paritrA              paritrE yes
02        sam        trA               saMtrA               saMtrE yes
; Case 272  truw  1 (0/1)
01         ud       truw               uttruw               uttruw no
; Case 273  tvakz  1 (1/0)
01        pra      tvakz             pratvakz             pratvakz yes
; Case 274  tvar  5 (4/1)
01        ati       tvar              atitvar              atitvar yes
02        aBi       tvar              aBitvar              aBitvar yes
03       pari       tvar             paritvar             paritvar no
04        pra       tvar              pratvar              pratvar yes
05        sam       tvar              saMtvar              saMtvar yes
; Case 275  tviz  1 (0/1)
01          A       tviz                Atviz                Atviz no
; Case 276  tsar  3 (3/0)
01        aBi       tsar              aBitsar              aBitsar yes
02        ava       tsar              avatsar              avatsar yes
03        upa       tsar              upatsar              upatsar yes
; Case 277  daMS  9 (4/5)
01        ava       daMS              avadaMS              avadaMS no
02          A       daMS                AdaMS                AdaMS yes
03         ud       daMS               uddaMS               uddaMS no
04        upa       daMS              upadaMS              upadaMS yes
05        nis       daMS              nirdaMS              nirdaMS yes
06       pari       daMS             paridaMS             paridaMS no
07         vi       daMS               vidaMS               vidaMS yes
08        sam       daMS              samdaMS              samdaMS no
09     aBisam       daMS           aBisamdaMS           aBisamdaMS no
; Case 278  daMh  1 (0/1)
01        ati       daMh              atidaMh              atidaMh no
; Case 279  daG  3 (2/1)
01        ati        daG               atidaG               atidaG yes
02          A        daG                 AdaG                 AdaG yes
03        pra        daG               pradaG               pradaG no
; Case 280  daB  3 (1/2)
01        aBi        daB               aBidaB               aBidaB no
02          A        daB                 AdaB                 AdaB yes
03        upa        daB               upadaB               upadaB no
; Case 281  dam  3 (2/1)
01          A        dam                 Adam                 Adam yes
02         ud        dam                uddam                uddam yes
03        pra        dam               pradam               pradam no
; Case 282  day  2 (2/0)
01        ava        day               avaday               avaday yes
02         vi        day                viday                viday yes
; Case 283  dar  15 (11/4)
01        anu        dar               anudar                anudF yes
02        apa        dar               apadar                apadF yes
03        ava        dar               avadar                avadF yes
04      vyava        dar             vyavadar              vyavadF no
05          A        dar                 Adar                  AdF yes
06         ud        dar                uddar                 uddF yes
07         ni        dar                nidar                 nidF no
08        nis        dar               nirdar                nirdF yes
09       pari        dar              paridar               paridF yes
10        pra        dar               pradar                pradF yes
11     aBipra        dar            aBipradar             aBipradF yes
12      prati        dar             pratidar              pratidF no
13         vi        dar                vidar                 vidF yes
14       udvi        dar              udvidar               udvidF yes
15      pravi        dar             pravidar              pravidF no
; Case 284  dar  4 (3/1)
01          A        dar                 Adar                  Adf yes
02       atyA        dar              atyAdar               atyAdf yes
03     pratyA        dar            pratyAdar             pratyAdf yes
04       samA        dar              samAdar               samAdf no
; Case 285  darp  3 (1/2)
01        ati       darp              atidarp               atidfp yes
02      samud       darp            samuddarp             samuddfp no
03        pra       darp              pradarp               pradfp no
; Case 286  darB  3 (1/2)
01        anu       darB              anudarB               anudfB yes
02         pi       darB               pidarB                pidfB no
03        sam       darB              samdarB               samdfB no
; Case 287  darS  25 (18/7)
01        ati       darS              atidarS               atidfS no
02        aDi       darS              aDidarS               aDidfS no
03        anu       darS              anudarS               anudfS yes
04      vyapa       darS            vyapadarS             vyapadfS yes
05        aBi       darS              aBidarS               aBidfS yes
06        ava       darS              avadarS               avadfS yes
07          A       darS                AdarS                 AdfS yes
08     pratyA       darS           pratyAdarS            pratyAdfS no
09        vyA       darS              vyAdarS               vyAdfS yes
10         ud       darS               uddarS                uddfS yes
11      aByud       darS            aByuddarS             aByuddfS no
12        upa       darS              upadarS               upadfS yes
13     samupa       darS           samupadarS            samupadfS yes
14         ni       darS               nidarS                nidfS yes
15      saMni       darS            saMnidarS             saMnidfS no
16       parA       darS             parAdarS              parAdfS yes
17       pari       darS             paridarS              paridfS yes
18        pra       darS              pradarS               pradfS yes
19     upapra       darS           upapradarS            upapradfS yes
20     saMpra       darS           sampradarS            sampradfS yes
21      prati       darS            pratidarS             pratidfS yes
22         vi       darS               vidarS                vidfS yes
23      aBivi       darS            aBividarS             aBividfS yes
24        sam       darS              samdarS               samdfS no
25     anusam       darS           anusamdarS            anusamdfS no
; Case 288  darh  2 (0/2)
01         ud       darh               uddarh                uddfh no
02       anUd       darh             anUddarh              anUddfh no
; Case 289  dal  5 (3/2)
01        ava        dal               avadal               avadal yes
02         ud        dal                uddal                uddal yes
03        nis        dal               nirdal               nirdal no
04         vi        dal                vidal                vidal yes
05        sam        dal               samdal               samdal no
; Case 290  daSasy  2 (0/2)
01          A     daSasy              AdaSasy             AdaSasya no
02        sam     daSasy            samdaSasy           samdaSasya no
; Case 291  das  6 (5/1)
01        apa        das               apadas               apadas yes
02        upa        das               upadas               upadas yes
03      anUpa        das             anUpadas             anUpadas yes
04        pra        das               pradas               pradas yes
05         vi        das                vidas                vidas yes
06        sam        das               samdas               samdas no
; Case 292  dah  22 (17/5)
01        ati        dah               atidah               atidah yes
02        anu        dah               anudah               anudah yes
03        apa        dah               apadah               apadah yes
04        api        dah               apidah               apidah yes
05        aBi        dah               aBidah               aBidah yes
06        ava        dah               avadah               avadah yes
07          A        dah                 Adah                 Adah yes
08       aByA        dah              aByAdah              aByAdah no
09        upa        dah               upadah               upadah yes
10         ni        dah                nidah                nidah yes
11        nis        dah               nirdah               nirdah yes
12     anunis        dah            anunirdah            anunirdah yes
13      vinis        dah             vinirdah             vinirdah yes
14       pari        dah              paridah              paridah yes
15    saMpari        dah           saMparidah           saMparidah no
16        pra        dah               pradah               pradah yes
17     saMpra        dah            sampradah            sampradah yes
18      prati        dah             pratidah             pratidah yes
19         vi        dah                vidah                vidah yes
20        sam        dah               samdah               samdah no
21   vyatisam        dah          vyatisamdah          vyatisamdah no
22     anusam        dah            anusamdah            anusamdah no
; Case 293  dA  45 (33/12)
01        ati         dA                atidA                atidA yes
02        anu         dA                anudA                anudA yes
03        aBi         dA                aBidA                aBidA yes
04        ava         dA                avadA                avadA no
05     aByava         dA             aByavadA             aByavadA yes
06          A         dA                  AdA                  AdA yes
07       anvA         dA               anvAdA               anvAdA yes
08        apA         dA                apAdA                apAdA yes
09       aByA         dA               aByAdA               aByAdA yes
10    samaByA         dA            samaByAdA            samaByAdA yes
11        udA         dA                udAdA                udAdA yes
12        upA         dA                upAdA                upAdA yes
13     aByupA         dA             aByupAdA             aByupAdA yes
14     samupA         dA             samupAdA             samupAdA yes
15      paryA         dA              paryAdA              paryAdA yes
16        prA         dA                prAdA                prAdA yes
17     pratyA         dA             pratyAdA             pratyAdA yes
18        vyA         dA                vyAdA                vyAdA yes
19     apavyA         dA             apavyAdA             apavyAdA yes
20     aBivyA         dA             aBivyAdA             aBivyAdA yes
21       samA         dA               samAdA               samAdA yes
22         ud         dA                 uddA                 uddA yes
23        upa         dA                upadA                upadA yes
24         ni         dA                 nidA                 nidA yes
25     pariRi         dA             pariRidA             pariRidA no
26      praRi         dA              praRidA              praRidA no
27        nis         dA                nirdA                nirdA no
28       parA         dA               parAdA               parAdA yes
29       pari         dA               paridA               paridA yes
30        pra         dA                pradA                pradA yes
31     atipra         dA             atipradA             atipradA no
32     anupra         dA             anupradA             anupradA yes
33     upapra         dA             upapradA             upapradA yes
34   pratipra         dA           pratipradA           pratipradA yes
35     saMpra         dA             sampradA             sampradA yes
36      prati         dA              pratidA              pratidA yes
37         vi         dA                 vidA                 vidA yes
38        sam         dA                samdA                samdA no
39        api         dA                apidA                apidA no
40     nirava         dA             niravadA             niravadA no
41    paryava         dA            paryavadA            paryavadA no
42   pratyava         dA           pratyavadA           pratyavadA no
43      vyava         dA              vyavadA              vyavadA yes
44     samava         dA             samavadA             samavadA no
45     pariRI         dA             pariRIdA             pariRIdA no
; Case 294  dAS  2 (2/0)
01        ati        dAS               atidAS               atidAS yes
02         vi        dAS                vidAS                vidAS yes
; Case 295  dAs  1 (1/0)
01        aBi        dAs               aBidAs               aBidAs yes
; Case 296  div  8 (4/4)
01        ati        div               atidiv               atidiv yes
02        aDi        div               aDidiv               aDidiv no
03        aBi        div               aBidiv               aBidiv no
04          A        div                 Adiv                 Adiv no
05        pra        div               pradiv               pradiv no
06      prati        div             pratidiv             pratidiv yes
07         vi        div                vidiv                vidiv yes
08       pari        div              paridiv              paridiv yes
; Case 297  diS  38 (34/4)
01        ati        diS               atidiS               atidiS yes
02        aDi        diS               aDidiS               aDidiS yes
03        anu        diS               anudiS               anudiS yes
04     samanu        diS            samanudiS            samanudiS yes
05        apa        diS               apadiS               apadiS yes
06      vyapa        diS             vyapadiS             vyapadiS yes
07        aBi        diS               aBidiS               aBidiS yes
08        ava        diS               avadiS               avadiS yes
09     samava        diS            samavadiS            samavadiS yes
10          A        diS                 AdiS                 AdiS yes
11       anvA        diS              anvAdiS              anvAdiS yes
12       aByA        diS              aByAdiS              aByAdiS yes
13        upA        diS               upAdiS               upAdiS yes
14       nirA        diS              nirAdiS              nirAdiS no
15     pratyA        diS            pratyAdiS            pratyAdiS yes
16        vyA        diS               vyAdiS               vyAdiS yes
17       samA        diS              samAdiS              samAdiS yes
18  pratisamA        diS         pratisamAdiS         pratisamAdiS yes
19         ud        diS                uddiS                uddiS yes
20      aByud        diS             aByuddiS             aByuddiS yes
21      samud        diS             samuddiS             samuddiS yes
22        upa        diS               upadiS               upadiS yes
23   pratyupa        diS          pratyupadiS          pratyupadiS yes
24     samupa        diS            samupadiS            samupadiS yes
25         ni        diS                nidiS                nidiS yes
26        nis        diS               nirdiS               nirdiS yes
27     aBinis        diS            aBinirdiS            aBinirdiS yes
28   pratinis        diS          pratinirdiS          pratinirdiS yes
29      vinis        diS             vinirdiS             vinirdiS yes
30       parA        diS              parAdiS              parAdiS yes
31       pari        diS              paridiS              paridiS yes
32        pra        diS               pradiS               pradiS yes
33     aBipra        diS            aBipradiS            aBipradiS yes
34     saMpra        diS            sampradiS            sampradiS yes
35      prati        diS             pratidiS             pratidiS yes
36        sam        diS               samdiS               samdiS no
37     anusam        diS            anusamdiS            anusamdiS no
38   pratisam        diS          pratisamdiS          pratisamdiS no
; Case 298  dih  13 (7/6)
01        anu        dih               anudih               anudih no
02        aBi        dih               aBidih               aBidih yes
03        ava        dih               avadih               avadih yes
04          A        dih                 Adih                 Adih yes
05         ud        dih                uddih                uddih yes
06        upa        dih               upadih               upadih yes
07         ni        dih                nidih                nidih no
08     pariRi        dih            pariRidih            pariRidih no
09        nis        dih               nirdih               nirdih no
10       pari        dih              paridih              paridih yes
11        pra        dih               pradih               pradih yes
12        sam        dih               samdih               samdih no
13     aBisam        dih            aBisamdih            aBisamdih no
; Case 299  dI  3 (2/1)
01        nis         dI                nirdI                nirdI yes
02       pari         dI               paridI               paridI no
03        upa         dI                upadI                upadI yes
; Case 300  dIkz  3 (2/1)
01        aBi       dIkz              aBidIkz              aBidIkz yes
02        upa       dIkz              upadIkz              upadIkz yes
03        sam       dIkz              samdIkz              samdIkz no
; Case 301  dIDi  10 (0/10)
01        anu       dIDi              anudIDi              anudIDI no
02        aBi       dIDi              aBidIDi              aBidIDI no
03        ava       dIDi              avadIDi              avadIDI no
04          A       dIDi                AdIDi                AdIDI no
05       anvA       dIDi             anvAdIDi             anvAdIDI no
06         ud       dIDi               uddIDi               uddIDI no
07         ni       dIDi               nidIDi               nidIDI no
08        pra       dIDi              pradIDi              pradIDI no
09      prati       dIDi            pratidIDi            pratidIDI no
10         vi       dIDi               vidIDi               vidIDI no
; Case 302  dIp  16 (13/3)
01        ati        dIp               atidIp               atidIp no
02        aBi        dIp               aBidIp               aBidIp yes
03        ava        dIp               avadIp               avadIp yes
04          A        dIp                 AdIp                 AdIp yes
05        upA        dIp               upAdIp               upAdIp yes
06        vyA        dIp               vyAdIp               vyAdIp yes
07         ud        dIp                uddIp                uddIp yes
08    pratyud        dIp           pratyuddIp           pratyuddIp yes
09      samud        dIp             samuddIp             samuddIp yes
10        upa        dIp               upadIp               upadIp yes
11       pari        dIp              paridIp              paridIp yes
12        pra        dIp               pradIp               pradIp yes
13     saMpra        dIp            sampradIp            sampradIp yes
14      prati        dIp             pratidIp             pratidIp no
15         vi        dIp                vidIp                vidIp yes
16        sam        dIp               samdIp               samdIp no
; Case 303  du  5 (5/0)
01        aBi         du                aBidu                aBidu yes
02          A         du                  Adu                  Adu yes
03       pari         du               paridu               paridu yes
04        pra         du                pradu                pradu yes
05         vi         du                 vidu                 vidu yes
; Case 304  durmanAy  1 (0/1)
01       pari   durmanAy         paridurmanAy        paridurmanAya no
; Case 305  duz  8 (6/2)
01        anu        duz               anuduz               anuduz yes
02        aBi        duz               aBiduz               aBiduz yes
03        upa        duz               upaduz               upaduz yes
04        pra        duz               praduz               praduz yes
05      vipra        duz             vipraduz             vipraduz no
06     saMpra        duz            sampraduz            sampraduz yes
07         vi        duz                viduz                viduz yes
08        sam        duz               samduz               samduz no
; Case 306  duh  10 (6/4)
01        aBi        duh               aBiduh               aBiduh yes
02        ava        duh               avaduh               avaduh yes
03     aByava        duh            aByavaduh            aByavaduh no
04          A        duh                 Aduh                 Aduh yes
05        upa        duh               upaduh               upaduh no
06        nis        duh               nirduh               nirduh yes
07        pra        duh               praduh               praduh no
08         vi        duh                viduh                viduh yes
09      prati        duh             pratiduh             pratiduh yes
10        sam        duh               samduh               samduh no
; Case 307  dUzay  7 (0/7)
01        aBi      dUzay             aBidUzay            aBidUzaya no
02        upa      dUzay             upadUzay            upadUzaya no
03        pra      dUzay             pradUzay            pradUzaya no
04     aBipra      dUzay          aBipradUzay         aBipradUzaya no
05   pratipra      dUzay        pratipradUzay       pratipradUzaya no
06         vi      dUzay              vidUzay             vidUzaya no
07        sam      dUzay             samdUzay            samdUzaya no
; Case 308  dyu  1 (0/1)
01        pra        dyu               pradyu               pradyu no
; Case 309  dyut  12 (8/4)
01        aBi       dyut              aBidyut              aBidyut no
02        ava       dyut              avadyut              avadyut yes
03          A       dyut                Adyut                Adyut yes
04         ud       dyut               uddyut               uddyut yes
05      samud       dyut            samuddyut            samuddyut yes
06        nis       dyut              nirdyut              nirdyut yes
07        pra       dyut              pradyut              pradyut yes
08     saMpra       dyut           sampradyut           sampradyut no
09         vi       dyut               vidyut               vidyut yes
10      saMvi       dyut            saMvidyut            saMvidyut yes
11        sam       dyut              samdyut              samdyut no
12      vyaBi       dyut            vyaBidyut            vyaBidyut no
; Case 310  drA  6 (3/3)
01        apa        drA               apadrA               apadrA yes
02        aBi        drA               aBidrA               aBidrA yes
03         vi        drA                vidrA                vidrA no
04        ava        drA               avadrA               avadrA no
05         ni        drA                nidrA                nidrA yes
06     pariRi        drA            pariRidrA            pariRidrA no
; Case 311  drAq  1 (0/1)
01         ud       drAq               uddrAq               uddrAq no
; Case 312  dru  38 (32/6)
01       acCa        dru              acCadru              acCadru no
02        ati        dru               atidru               atidru yes
03        aDi        dru               aDidru               aDidru yes
04        anu        dru               anudru               anudru yes
05     samanu        dru            samanudru            samanudru yes
06        apa        dru               apadru               apadru yes
07        aBi        dru               aBidru               aBidru yes
08     samaBi        dru            samaBidru            samaBidru yes
09      vyava        dru             vyavadru             vyavadru yes
10     samava        dru            samavadru            samavadru yes
11          A        dru                 Adru                 Adru yes
12       anvA        dru              anvAdru              anvAdru no
13       aByA        dru              aByAdru              aByAdru yes
14        udA        dru               udAdru               udAdru yes
15      paryA        dru             paryAdru             paryAdru yes
16        prA        dru               prAdru               prAdru yes
17     saMprA        dru            saMprAdru            saMprAdru no
18     pratyA        dru            pratyAdru            pratyAdru yes
19       samA        dru              samAdru              samAdru yes
20         ud        dru                uddru                uddru yes
21       anUd        dru              anUddru              anUddru yes
22      aByud        dru             aByuddru             aByuddru yes
23        upa        dru               upadru               upadru yes
24        opa        dru               opadru               opadru yes
25   pratyupa        dru          pratyupadru          pratyupadru yes
26     samupa        dru            samupadru            samupadru yes
27        nis        dru               nirdru               nirdru yes
28       pari        dru              paridru              paridru yes
29     vipari        dru            viparidru            viparidru yes
30        pra        dru               pradru               pradru yes
31     aBipra        dru            aBipradru            aBipradru yes
32      vipra        dru             vipradru             vipradru yes
33     saMpra        dru            sampradru            sampradru yes
34      prati        dru             pratidru             pratidru yes
35         vi        dru                vidru                vidru yes
36      aBivi        dru             aBividru             aBividru no
37      pravi        dru             pravidru             pravidru no
38        sam        dru               samdru               samdru no
; Case 313  druh  4 (2/2)
01        aBi       druh              aBidruh              aBidruh yes
02        pra       druh              pradruh              pradruh no
03      prati       druh            pratidruh            pratidruh no
04         vi       druh               vidruh               vidruh yes
; Case 314  drek  1 (1/0)
01        pra       drek              pradrek              pradrek yes
; Case 315  dviz  5 (3/2)
01        anu       dviz              anudviz              anudviz yes
02       pari       dviz             paridviz             paridviz no
03        pra       dviz              pradviz              pradviz yes
04         vi       dviz               vidviz               vidviz yes
05        sam       dviz              samdviz              samdviz no
; Case 316  Dan  1 (0/1)
01        pra        Dan               praDan               praDan no
; Case 317  Danv  6 (3/3)
01       acCa       Danv             acCaDanv             acCaDanv no
02        anu       Danv              anuDanv              anuDanv yes
03        aBi       Danv              aBiDanv              aBiDanv yes
04        pra       Danv              praDanv              praDanv no
05    paripra       Danv          paripraDanv          paripraDanv yes
06        sam       Danv              samDanv              samDanv no
; Case 318  Dam  18 (8/10)
01        anu        Dam               anuDam               anuDam yes
02        apa        Dam               apaDam               apaDam yes
03        api        Dam               apiDam               apiDam yes
04        aBi        Dam               aBiDam               aBiDam yes
05        ava        Dam               avaDam               avaDam yes
06          A        Dam                 ADam                 ADam no
07       atyA        Dam              atyADam              atyADam yes
08        upA        Dam               upADam               upADam no
09     pratyA        Dam            pratyADam            pratyADam no
10       samA        Dam              samADam              samADam no
11         ud        Dam                udDam                udDam no
12        upa        Dam               upaDam               upaDam no
13        nis        Dam               nirDam               nirDam yes
14       parA        Dam              parADam              parADam no
15        pra        Dam               praDam               praDam no
16         vi        Dam                viDam                viDam yes
17        sam        Dam               samDam               samDam no
18     aBisam        Dam            aBisamDam            aBisamDam no
; Case 319  Dar  19 (17/2)
01        aDi        Dar               aDiDar                aDiDf yes
02        aBi        Dar               aBiDar                aBiDf yes
03        ava        Dar               avaDar                avaDf yes
04    paryava        Dar           paryavaDar            paryavaDf no
05      vyava        Dar             vyavaDar              vyavaDf yes
06          A        Dar                 ADar                  ADf yes
07        nyA        Dar               nyADar                nyADf yes
08         ud        Dar                udDar                 udDf yes
09        upa        Dar               upaDar                upaDf yes
10      anUpa        Dar             anUpaDar              anUpaDf yes
11         ni        Dar                niDar                 niDf yes
12       vini        Dar              viniDar               viniDf yes
13        nis        Dar               nirDar                nirDf yes
14       pari        Dar              pariDar               pariDf yes
15        pra        Dar               praDar                praDf yes
16     saMpra        Dar            sampraDar             sampraDf yes
17      prati        Dar             pratiDar              pratiDf yes
18         vi        Dar                viDar                 viDf yes
19        sam        Dar               samDar                samDf no
; Case 320  Darz  12 (9/3)
01        apa       Darz              apaDarz               apaDfz yes
02        aBi       Darz              aBiDarz               aBiDfz yes
03        ava       Darz              avaDarz               avaDfz no
04          A       Darz                ADarz                 ADfz yes
05        upa       Darz              upaDarz               upaDfz yes
06       pari       Darz             pariDarz              pariDfz yes
07        pra       Darz              praDarz               praDfz yes
08     aBipra       Darz           aBipraDarz            aBipraDfz no
09     saMpra       Darz           sampraDarz            sampraDfz yes
10      prati       Darz            pratiDarz             pratiDfz yes
11         vi       Darz               viDarz                viDfz yes
12        sam       Darz              samDarz               samDfz no
; Case 321  Dav  1 (0/1)
01         ni        Dav                niDav                niDav no
; Case 322  DA  89 (69/20)
01        ati         DA                atiDA                atiDA yes
02        aDi         DA                aDiDA                aDiDA yes
03        anu         DA                anuDA                anuDA yes
04      vyanu         DA              vyanuDA              vyanuDA yes
05      antar         DA              antarDA              antarDA yes
06        apa         DA                apaDA                apaDA yes
07        api         DA                apiDA                apiDA yes
08     samapi         DA             samapiDA             samapiDA yes
09        aBi         DA                aBiDA                aBiDA yes
10   pratyaBi         DA           pratyaBiDA           pratyaBiDA yes
11     samaBi         DA             samaBiDA             samaBiDA yes
12        ava         DA                avaDA                avaDA yes
13     anvava         DA             anvavaDA             anvavaDA yes
14     aByava         DA             aByavaDA             aByavaDA yes
15      upAva         DA              upAvaDA              upAvaDA yes
16    paryava         DA            paryavaDA            paryavaDA no
17   pratyava         DA           pratyavaDA           pratyavaDA yes
18      vyava         DA              vyavaDA              vyavaDA yes
19   saMvyava         DA           saMvyavaDA           saMvyavaDA no
20     samava         DA             samavaDA             samavaDA yes
21          A         DA                  ADA                  ADA yes
22       atyA         DA               atyADA               atyADA yes
23       aDyA         DA               aDyADA               aDyADA yes
24     antarA         DA             antarADA             antarADA yes
25       anvA         DA               anvADA               anvADA yes
26        apA         DA                apADA                apADA yes
27       aByA         DA               aByADA               aByADA yes
28        udA         DA                udADA                udADA no
29        upA         DA                upADA                upADA yes
30   pratyupA         DA           pratyupADA           pratyupADA yes
31        nyA         DA                nyADA                nyADA yes
32       nirA         DA               nirADA               nirADA yes
33      paryA         DA              paryADA              paryADA yes
34   anuparyA         DA           anuparyADA           anuparyADA yes
35   aBiparyA         DA           aBiparyADA           aBiparyADA yes
36        prA         DA                prADA                prADA no
37        vyA         DA                vyADA                vyADA yes
38       samA         DA               samADA               samADA yes
39    anusamA         DA            anusamADA            anusamADA yes
40    aBisamA         DA            aBisamADA            aBisamADA no
41    upasamA         DA            upasamADA            upasamADA yes
42  pratisamA         DA          pratisamADA          pratisamADA yes
43         ud         DA                 udDA                 udDA yes
44        upa         DA                upaDA                upaDA yes
45      anUpa         DA              anUpaDA              anUpaDA yes
46     aByupa         DA             aByupaDA             aByupaDA yes
47   pratyupa         DA           pratyupaDA           pratyupaDA yes
48      tiras         DA              tirarDA              tirarDA no
49         ni         DA                 niDA                 niDA yes
50      aDini         DA              aDiniDA              aDiniDA yes
51      apani         DA              apaniDA              apaniDA yes
52      aBini         DA              aBiniDA              aBiniDA yes
53       unni         DA               unniDA               unniDA yes
54      upani         DA              upaniDA              upaniDA yes
55     parini         DA             pariniDA             pariniDA no
56      praRi         DA              praRiDA              praRiDA yes
57   saMpraRi         DA           sampraRiDA           sampraRiDA yes
58    pratini         DA            pratiniDA            pratiniDA yes
59       vini         DA               viniDA               viniDA yes
60      saMni         DA              saMniDA              saMniDA yes
61        nis         DA                nirDA                nirDA yes
62      vinis         DA              vinirDA              vinirDA no
63       pari         DA               pariDA               pariDA yes
64     vipari         DA             vipariDA             vipariDA yes
65         pi         DA                 piDA                 piDA yes
