gad:34408&34409:*anu,*praRyA,ni,aBini,*pariRi,praRi,pratini,vini,*pari,*pra,prati,vi~pra gad:62868:verb:1P,10P:
gaD:34456:A,pari gaD:62957:verb:4:
gam:34676:acCa,ati,upAti,vyati,aDi,samaDi,anu,samanu,antar,apa,vyapa,api,aBi,samaBi,aram,ava,aDyava,pratyava,samava,A,aDyA,anvA,samanvA,aByA,samaByA,avA,samudA,upA,aByupA,paryupA,samupA,nyA,pratinyA,paryA,pratyA,saMpratyA,samA,aBisamA,ud,apod,aByud,prod,pratyud,samud,upa,aByupa,samupa,ni,upani,saMni,vini,nis,aBinis,vinis,saMnis,parA,anuparA,pari,pra,vipra,prati,vi,pravi,sam,anusam,aBisam,upasam gam:63409:verb:1P,2P,3P,1Ā:
gar:34731&34732&34733:anu,apa,*api,aBi,A,pratyA,upa,pra,saMpra,prati,aBiprati,vi,sam,aBisam~apa,ava,ud,*pratyud,*samud,upa,ni,nis,sam~anu,ud,pra,prati gF:66808&66809&66810:verb:9P,9Ā,6P,6Ā,10Ā:
garj:34807:ati,anu,aBi,samaBi,ud,pari,pra,*saMpra,prati,vi,sam garj:63862:verb:1P:
garD:34859:anu,aBi,pra,prati gfD:66434:verb:4P,4Ā:
garh:35007:ava,ni,pari,vi garh:64179:verb:1,10P,10Ā:
gal:35015&35016:ava,A,paryA,samA,ud,ni,nis,pari,pra,vi,pravi~ni gal:64198&64241:verb:1P,1Ā,1P:
gavez:35130:pari gavez:64327:verb:1Ā,10:
gA:35160&35162:acCa,ati,vyati,aDi,anu,samanu,antar,apa,api,aBi,ava,anvava,samaByava,anuvyava,A,anvA,aByA,samaByA,udA,upA,paryA,anuparyA,ud,aByud,pratyud,upa,ni,nis,parA,pari,anupari,vipari,pra,apapra,upapra,prati,vi,sam~acCa,anu,samanu,apa,aBi,ava,A,ud,prod,pratyud,upa,ni,pari,pra,aBipra,vipra,saMpra,vi,sam gA:64493:verb:3P,3Ā,2P,2Ā:
gAh:35409:ati,aBi,ava,aByava,vyava,samA,ud,upa,pra,aBipra,saMpra,prati,vi,pravi,*sam gAh:65024:verb:1Ā,1P:
gu:35586&35588:prati~vi gu:65339&65341&65342:verb:1Ā,1Ā,1P,6P:
guYj:35617:samud guYj:65392:verb:1P:
guRay:35732:anu,pari,pra,sam guRaya:65787:verb:P:
guRW:35816:ava,samava,A,pari guRW:65822:verb:10P:
gup:35860:aDi,anu,aBi,upa,*nis,pari,prati,vi,sam,aBisam gup:65898&65899:verb:4P,4Ā,0Ā,0P:
gur:35894:ati,apa,aBi,ava,A,ud,pra gur:65978:verb:6,4:
guh:36035:apa,samaBi,ava,samava,ud,upa,samupa,ni,vini,*pari,vi,*sam guh:66258:verb:1P,1Ā:
gfBAy:36188:anu,samA,ud,prati,sam,Asam gfBAya:66492:verb:P:
gopay:36659:aBi,pra,sam gopaya:67940:verb:PĀ:
gopAy:36679:aBi,pari gopAya:67943:verb:P:
graT:37263:anu,A,ud,samud,upa,ni,pra,vi,sam graT:68437&68541:verb:9P,1P,1Ā,1Ā:
