; Additional mappings into pw headwords
; hw <space> ptr(s)
; ----------------------------------------------------------
; 02-16-2020.   Additional pointers for prefixed verb forms  mapping into verbs.
akz	nirakz,samakz
aGAy	aByaGAy,aByaGAya
aNKay	paryaNKay,paryaNK
ac	anvac
ac	anvaYc
ac	apAc
ac	apAYc
ac	avAc
ac	avAYc
ac	Ac
ac	AYc
ac	udac
ac	udaYc
ac	vyudac
ac	vyudaYc
ac	samudac
ac	samudaYc
ac	upAc
ac	upAYc
ac	nyac
ac	nyaYc
ac	paryac
ac	paryaYc
ac	pratyac
ac	pratyaYc
ac	vyac
ac	vyaYc
ac	samac
ac	samaYc
aj	atyaj
aj	apAj
aj	aByaj
aj	avAj
aj	Aj
aj	aByAj
aj	udaj
aj	upAj
aj	niraj
aj	prAj
aj	vyaj
aj	samaj
aYj	anvaYj
aYj	antaraYj
aYj	aByaYj
aYj	AYj
aYj	samAYj
aYj	udaYj
aYj	upAYj
aYj	nyaYj
aYj	pratyaYj
aYj	vyaYj
aYj	anuvyaYj
aYj	aBivyaYj
aYj	samaYj
aw	paryaw
at	aByat
at	avAt
at	samat
ad	apyad
ad	avAd
ad	Ad
ad	prAd
ad	pratyad
ad	vyad
ad	samad
an	apAn
an	aByapAn
an	avAn
an	vyavAn
an	udAn
an	udan
an	aByudan
an	parAn
an	prAn
an	anuprAn
an	aBiprAn
an	vyan
an	aBivyan
an	saman
an	anusaman
am	aByam
am	paryam
am	vyam
am	samam
ar	anvar
ar	anvf
ar	apAr
ar	aByar
ar	aByf
ar	Ar
ar	udar
ar	udf
ar	upAr
ar	nyar
ar	nyf
ar	nirar
ar	nisf
ar	prAr
ar	pratyar
ar	pratyf
ar	vyar
ar	vyf
ar	samar
ar	samf
ar	aBisamar
ar	aBisamf
arc	anvarc
arc	aByarc
arc	samaByarc
arc	prArc
arc	aBiprArc
arc	pratyarc
arc	samarc
arC	apArC
arC	aByarC
arC	aByfC
arC	avArC
arC	ArC
arC	udarC
arC	udfC
arC	upArC
arC	nyarC
arC	nyfC
arC	nirarC
arC	nisfC
arC	saMnirarC
arC	saMnisfC
arC	prArC
arC	vyarC
arC	vyfC
arC	samarC
arC	samfC
arj	atyarj
arj	apyatyarj
arj	aByatyarj
arj	anvarj
arj	apyarj
arj	avArj
arj	anvavArj
arj	samavArj
arj	samArj
arj	udarj
arj	upArj
arj	samupArj
arj	prArj
arTay	aByarTay
arTay	aByarT
arTay	prArTay
arTay	prArT
arTay	aBiprArTay
arTay	aBiprArT
arTay	saMprArTay
arTay	saMprArT
arTay	pratyarTay
arTay	pratyarT
arTay	samarTay
arTay	samarT
ard	atyard
ard	aByard
ard	udard
ard	nyard
ard	nirard
ard	prArd
ard	pratyard
ard	vyard
ard	samard
arD	aDyarD
arD	aDyfD
arD	anvarD
arD	anvfD
arD	ArD
arD	upArD
arD	vyarD
arD	vyfD
arD	samarD
arD	samfD
arz	anvarz
arz	anvfz
arz	aByarz
arz	aByfz
arz	paryarz
arz	paryfz
arz	prArz
arz	vyarz
arz	vyfz
arz	samarz
arz	samfz
arz	aDyarz
arz	aDyfz
arz	udarz
arz	udfz
arz	upArz
arz	nyarz
arz	nyfz
arh	atyarh
arh	aByarh
arh	prArh
arh	samarh
av	anvav
av	aByav
av	udav
av	upAv
av	prAv
av	saMprAv
av	samav
aS	anvaS
aS	aByaS
aS	AS
aS	udaS
aS	upAS
aS	samupAS
aS	paryaS
aS	prAS
aS	pratyaS
aS	vyaS
aS	anuvyaS
aS	samaS
aS	anusamaS
aS	upasamaS
aS	atyaS
aS	niraS
aS	aBiprAS
aSAy	vyaSAy
aSAy	vyaSAya
as	atyas
as	vyatyas
as	anvas
as	vyatyanvas
as	apAs
as	apyas
as	aByas
as	upAs
as	nyas
as	paryas
as	prAs
as	pratyas
as	vyas
as	samas
as	aDyas
as	udapAs
as	samaByas
as	avAs
as	anvavAs
as	aByavAs
as	As
as	udas
as	anUdas
as	paryudas
as	vyudas
as	aBivyudas
as	udvyudas
as	vyupAs
as	aBinyas
as	upanyas
as	parinyas
as	pratinyas
as	vinyas
as	saMnyas
as	upasaMnyas
as	niras
as	aBiniras
as	parAs
as	viparyas
as	saMparyas
as	anuprAs
as	aBiprAs
as	pratiprAs
as	pravyas
as	anusamas
as	upasamas
ah	aDyah
ah	anvah
ah	aByah
ah	nirah
ah	parAh
ah	paryah
ah	prAh
ah	pratyah
ah	vyah
Ap	anvAp
Ap	aByAp
Ap	avAp
Ap	pratyavAp
Ap	samavAp
Ap	Ap
Ap	udAp
Ap	upAp
Ap	samupAp
Ap	paryAp
Ap	saMparyAp
Ap	prAp
Ap	anuprAp
Ap	samanuprAp
Ap	aBiprAp
Ap	upaprAp
Ap	pariprAp
Ap	saMpariprAp
Ap	saMprAp
Ap	anusaMprAp
Ap	aBisaMprAp
Ap	upasaMprAp
Ap	pratyAp
Ap	vyAp
Ap	aBivyAp
Ap	samAp
Ap	anusamAp
Ap	parisamAp
As	aDyAs
As	samaDyAs
As	anvAs
As	antarAs
As	udAs
As	upAs
As	paryupAs
As	samupAs
As	paryAs
As	pratyAs
As	samAs
As	pratisamAs
i	acCe
i	atI
i	anvatI
i	apAtI
i	aByatI
i	upAtI
i	antarupAtI
i	prAtI
i	vyatI
i	samatI
i	aDI
i	upADI
i	prADI
i	pratyaDI
i	samaDI
i	anvi
i	samanvi
i	antari
i	ape
i	vyape
i	apI
i	aBI
i	udaBI
i	samaBI
i	ave
i	anvave
i	aByave
i	samaByave
i	Ave
i	upAve
i	paryave
i	pratyave
i	aBipratyave
i	vyave
i	anuvyave
i	samave
i	e
i	acCe
i	atye
i	anve
i	aBye
i	samaBye
i	ave
i	ude
i	anUde
i	aByude
i	upode
i	upe
i	aByupe
i	nye
i	nire
i	pare
i	parye
