; Additional mappings into pw headwords
; hw <space> ptr(s)
; ----------------------------------------------------------
; 02-16-2020.   Additional pointers for prefixed verb forms  mapping into verbs.
akz	nirakz,samakz
i	anuparye
i	aBiparye
i	pratye
i	pre
i	same
i	aBisame
i	upasame
i	parisame
i	udi
i	anUdi
i	apodi
i	aByudi
i	upodi
i	prodi
i	pratyudi
i	samudi
i	upe
i	aDyupe
i	aByupe
i	samaByupe
i	samope
i	pratyupe
i	vyupe
i	samupe
i	duri
i	nI
i	aBinI
i	upanI
i	niri
i	anupare
i	apapare
i	aBipare
i	upapare
i	pratipare
i	vipare
i	saMpare
i	parI
i	anuparI
i	aBiparI
i	pratiparI
i	viparI
i	prativiparI
i	saMparI
i	pale
i	prapale
i	vipale
i	saMpale
i	palI
i	upapalI
i	vipalI
i	pre
i	anupre
i	apapre
i	aBipre
i	upapre
i	paripre
i	vipre
i	saMpre
i	pratI
i	ApratI
i	saMpratI
i	ple
i	upaple
i	vI
i	anuvI
i	aBivI
i	parivI
i	sami
i	atisami
i	anusami
i	aBisami
i	upasami
iNg	udiNg
iNg	vINg
iNg	samiNg
iD	anviD
iD	anvinD
iD	aBID
iD	aBInD
iD	eD
iD	enD
iD	parID
iD	parInD
iD	preD
iD	prenD
iD	saMpreD
iD	saMprenD
iD	pratID
iD	pratInD
iD	samiD
iD	saminD
iD	aBisamiD
iD	aBisaminD
iD	upasamiD
iD	upasaminD
inv	avenv
inv	env
inv	upenv
inv	prenv
inv	pratInv
inv	vInv
inv	saminv
iyakz	aBIyakz
iyakz	preyakz
irajy	prerajy
irajy	prerajya
irasya	aBIrasya
il	avel
iz	prADIz
iz	anviz
iz	samanviz
iz	apIz
iz	parIz
iz	prez
iz	anuprez
iz	aBiprez
iz	upaprez
iz	niprez
iz	pariprez
iz	saMprez
iz	samiz
iz	aDIz
iz	paryanviz
iz	antariz
iz	aBIz
iz	pratIz
iz	vIz
izaRy	samizaRy
izaRy	samizaRya
Ikz	aDIkz
Ikz	anvIkz
Ikz	apekz
Ikz	vyapekz
Ikz	aBIkz
Ikz	avekz
Ikz	anvavekz
Ikz	aByavekz
Ikz	upAvekz
Ikz	nyavekz
Ikz	niravekz
Ikz	paryavekz
Ikz	pratyavekz
Ikz	samavekz
Ikz	ekz
Ikz	udIkz
Ikz	aByudIkz
Ikz	pratyudIkz
Ikz	samudIkz
Ikz	upekz
Ikz	aByupekz
Ikz	samupekz
Ikz	nirIkz
Ikz	saMnirIkz
Ikz	parekz
Ikz	parIkz
Ikz	upaparIkz
Ikz	prekz
Ikz	anuprekz
Ikz	aBiprekz
Ikz	samaBiprekz
Ikz	Aprekz
Ikz	utprekz
Ikz	upaprekz
Ikz	viprekz
Ikz	saMprekz
Ikz	aBisaMprekz
Ikz	pratIkz
Ikz	saMpratIkz
Ikz	vIkz
Ikz	anuvIkz
Ikz	samanuvIkz
Ikz	aBivIkz
Ikz	samaBivIkz
Ikz	udvIkz
Ikz	samudvIkz
Ikz	upavIkz
Ikz	prativIkz
Ikz	saMvIkz
Ikz	aBisaMvIkz
Ikz	samIkz
Ikz	anusamIkz
Ikz	aBisamIkz
Ikz	prasamIkz
Ikz	pratisamIkz
INK	sameNK
INK	parINK
INK	preNK
Ij	apej
Ij	samIj
Iq	preq
Ir	aBIr
Ir	vyaver
Ir	er
Ir	nyer
Ir	samer
Ir	udIr
Ir	aByudIr
Ir	pratyudIr
Ir	samudIr
Ir	nIr
Ir	prer
Ir	aBiprer
Ir	saMprer
Ir	pratIr
Ir	vIr
Ir	samIr
Ir	aBisamIr
IS	parIS
Iz	atIz
Iz	apez
Iz	ez
Iz	upez
Iz	pratyez
Iz	udIz
Iz	samudIz
Iz	upez
Iz	pratIz
Iz	vIz
Iz	samIz
Ih	pratIh
Ih	samIh
u	o
u	vyu
ukz	anUkz
ukz	aByukz
ukz	udukz
ukz	upokz
ukz	nirukz
ukz	paryukz
ukz	anuparyukz
ukz	aBiparyukz
ukz	prokz
ukz	saMprokz
ukz	vyukz
ukz	aBivyukz
ukz	samukz
uc	aByuc
uc	nyuc
uc	samuc
ujJ	projJ
ujJ	samujJ
uYC	proYC
utkaRW	protkaRW
utkaRW	protkaRWa
utkaRW	samutkaRW
utkaRW	samutkaRWa
ud	anUd
ud	avod
ud	upod
ud	nyud
ud	vyud
ubj	udubj
ubj	nyubj
ubj	aBinyubj
ubj	nirubj
ubj	vyubj
ubj	samubj
ubj	aBisamubj
uB	apoB
uB	nyuB
uB	proB
uB	samuB
ullAGay	prollAGay
ullAGay	prollAGaya
uz	aByuz
uz	uduz
uz	upoz
uz	samupoz
uz	nyuz
uz	pratyuz
uz	samuz
UrRu	aporRu
UrRu	pratyaporRu
UrRu	aByUrRu
UrRu	orRu
UrRu	paryUrRu
UrRu	prorRu
UrRu	saMprorRu
UrRu	vyUrRu
Uh	atyUh
Uh	vyatyUh
Uh	aDyUh
Uh	apoh
Uh	avApoh
Uh	vyapoh
Uh	samapoh
Uh	aByUh
Uh	avoh
Uh	udUh
Uh	apodUh
Uh	aByudUh
Uh	pratyudUh
Uh	vyudUh
Uh	upoh
Uh	samupoh
Uh	nyUh
Uh	nirUh
Uh	paryUh
Uh	viparyUh
Uh	proh
Uh	pratyUh
Uh	vyUh
Uh	anuvyUh
Uh	nirvyUh
Uh	prativyUh
Uh	samUh
Uh	aBisamUh
Uh	upasamUh
Uh	parisamUh
Uh	anUh
Uh	apyUh
Uh	vyoh
ej	udej
ej	prej
ej	samej
eqakIy	upeqakIy
eqakIy	upeqakIya
eD	aDyeD
eD	upeD
eD	sameD
ez	atyez
ez	upez
oK	parAoK
kac	Akac
kac	utkac
kac	vikac
kaww	Akaww
kaR	nikaR
katT	vikatT
kaTay	anukaTay
kaTay	anukaT
kaTay	nikaTay
kaTay	nikaT
kaTay	parikaTay
kaTay	parikaT
kaTay	prakaTay
kaTay	prakaT
kaTay	vikaTay
kaTay	vikaT
kaTay	saMkaTay
kaTay	saMkaT
kan	Akan
kam	anukam
kam	aBikam
kam	nikam
kam	prakam
kamp	anukamp
kamp	samanukamp
kamp	aBikamp
kamp	Akamp
kamp	utkamp
kamp	parikamp
kamp	saMparikamp
kamp	prakamp
kamp	anuprakamp
kamp	aBiprakamp
kamp	samprakamp
kamp	pratikamp
kamp	vikamp
kamp	saMkamp
kar	atikar
kar	atikf
kar	vyatikar
kar	vyatikf
kar	aDikar
kar	aDikf
kar	anukar
kar	anukf
kar	apakar
kar	apakf
kar	pratyapakar
kar	pratyapakf
kar	apikar
kar	apikf
kar	aBikar
kar	aBikf
kar	araMkar
kar	araMkf
kar	alaMkar
kar	alaMkf
kar	avakar
kar	avakf
kar	anvavakar
kar	anvavakf
kar	Akar
kar	Akf
kar	atyAkar
kar	atyAkf
kar	anvAkar
kar	anvAkf
kar	apAkar
kar	apAkf
kar	vyapAkar
kar	vyapAkf
kar	avAkar
kar	avAkf
kar	udAkar
kar	udAkf
kar	upAkar
kar	upAkf
kar	aByupAkar
kar	aByupAkf
kar	pratyupAkar
kar	pratyupAkf
kar	samupAkar
kar	samupAkf
kar	nyAkar
kar	nyAkf
kar	nirAkar
kar	nirAkf
kar	paryAkar
kar	paryAkf
kar	prAkar
kar	prAkf
kar	samAkar
kar	samAkf
kar	upasamAkar
kar	upasamAkf
kar	izkar
kar	izkf
kar	utkar
kar	utkf
kar	upakar
kar	upakf
kar	pratyupakar
kar	pratyupakf
kar	nikar
kar	nikf
kar	pranikar
kar	pranikf
kar	vinikar
kar	vinikf
kar	nizkar
kar	nizkf
kar	aBinizkar
kar	aBinizkf
kar	upanizkar
kar	upanizkf
kar	vinizkar
kar	vinizkf
kar	parAkar
kar	parAkf
kar	parikar
kar	parikf
kar	prakar
kar	prakf
kar	viprakar
kar	viprakf
kar	samprakar
kar	samprakf
kar	pratikar
kar	pratikf
kar	vikar
kar	vikf
kar	anuvikar
kar	anuvikf
kar	saMkar
kar	saMkf
kar	aBisaMkar
kar	aBisaMkf
kar	upasaMkar
kar	upasaMkf
kar	pratisaMkar
kar	pratisaMkf
kar	aByavakar
kar	aByavakf
kar	paryavakar
kar	paryavakf
kar	vyavakar
kar	vyavakf
kar	samavakar
kar	samavakf
kar	ayAkar
kar	ayAkf
kar	samutkar
kar	samutkf
kar	saMnikar
kar	saMnikf
kar	anuparikar
kar	anuparikf
kar	samprakar
kar	samprakf
kar	pravikar
kar	pravikf
kart	samaDikart
kart	samaDikft
kart	anukart
kart	anukft
kart	apakart
kart	apakft
kart	apikart
kart	apikft
kart	avakart
kart	avakft
kart	utkart
kart	utkft
kart	samutkart
kart	samutkft
kart	upakart
kart	upakft
kart	nikart
kart	nikft
kart	vinikart
kart	vinikft
kart	nizkart
kart	nizkft
kart	parikart
kart	parikft
kart	prakart
kart	prakft
kart	vikart
kart	vikft
kart	aDivikart
kart	aDivikft
kart	saMkart
kart	saMkft
karS	anukarS
karS	anukfS
karS	avakarS
karS	avakfS
karS	parikarS
karS	parikfS
karS	prakarS
karS	prakfS
karS	vikarS
karS	vikfS
karz	atikarz
karz	atikfz
karz	anukarz
karz	anukfz
karz	apakarz
karz	apakfz
karz	vyapakarz
karz	vyapakfz
karz	aBikarz
karz	aBikfz
karz	avakarz
karz	avakfz
karz	aByavakarz
karz	aByavakfz
karz	vyavakarz
karz	vyavakfz
karz	Akarz
karz	Akfz
karz	apAkarz
karz	apAkfz
karz	vyapAkarz
karz	vyapAkfz
karz	aByAkarz
karz	aByAkfz
karz	paryAkarz
karz	paryAkfz
karz	pratyAkarz
karz	pratyAkfz
karz	vyAkarz
karz	vyAkfz
karz	samAkarz
karz	samAkfz
karz	utkarz
karz	utkfz
karz	apotkarz
karz	apotkfz
karz	pratyutkarz
karz	pratyutkfz
karz	samutkarz
karz	samutkfz
karz	upakarz
karz	upakfz
karz	samupakarz
karz	samupakfz
karz	nikarz
karz	nikfz
karz	saMnikarz
karz	saMnikfz
karz	nizkarz
karz	nizkfz
karz	parAkarz
karz	parAkfz
karz	parikarz
karz	parikfz
karz	prakarz
karz	prakfz
karz	viprakarz
karz	viprakfz
karz	samprakarz
karz	samprakfz
karz	pratikarz
karz	pratikfz
karz	vikarz
karz	vikfz
karz	saMkarz
karz	saMkfz
kal	avakal
kal	vyavakal
kal	Akal
kal	pratyAkal
kal	utkal
kal	parikal
kal	saMkal
kal	pratyAsaMkal
kal	utsaMkal
kal	upakal
kal	nizkal
kal	prakal
kal	anusaMkal
kalp	anukalp
kalp	anukxp
kalp	samanukalp
kalp	samanukxp
kalp	aBikalp
kalp	aBikxp
kalp	avakalp
kalp	avakxp
kalp	Akalp
kalp	Akxp
kalp	utkalp
kalp	utkxp
kalp	upakalp
kalp	upakxp
kalp	samupakalp
kalp	samupakxp
kalp	parikalp
kalp	parikxp
kalp	prakalp
kalp	prakxp
kalp	samprakalp
kalp	samprakxp
kalp	pratikalp
kalp	pratikxp
kalp	vikalp
kalp	vikxp
kalp	saMkalp
kalp	saMkxp
kalp	upasaMkalp
kalp	upasaMkxp
kaz	apakaz
kaz	Akaz
kaz	utkaz
kaz	nikaz
kaz	nizkaz
kas	utkas
kas	nizkas
kas	prakas
kas	vikas
kas	anuvikas
kas	pravikas
kas	saMkas
kA	anukA
kA	AkA
kA	saMkA
kANkz	anukANkz
kANkz	aBikANkz
kANkz	avakANkz
kANkz	AkANkz
kANkz	aByAkANkz
kANkz	pratyAkANkz
kANkz	samAkANkz
kANkz	parikANkz
kANkz	prakANkz
kANkz	pratikANkz
kANkz	vikANkz
kAS	atikAS
kAS	anukAS
kAS	aBikAS
kAS	avakAS
kAS	AkAS
kAS	utkAS
kAS	nikAS
kAS	saMnikAS
kAS	nizkAS
kAS	prakAS
kAS	aBiprakAS
kAS	samprakAS
kAS	pratikAS
kAS	vikAS
kAS	anuvikAS
kAS	pravikAS
kAS	saMkAS
kAS	pratisaMkAS
kAs	utkAs
kIrtay	anukIrtay
kIrtay	anukIrt
kIrtay	samanukIrtay
kIrtay	samanukIrt
kIrtay	samaBikIrtay
kIrtay	samaBikIrt
kIrtay	utkIrtay
kIrtay	utkIrt
kIrtay	parikIrtay
kIrtay	parikIrt
kIrtay	saMparikIrtay
kIrtay	saMparikIrt
kIrtay	prakIrtay
kIrtay	prakIrt
kIrtay	samprakIrtay
kIrtay	samprakIrt
kIrtay	saMkIrtay
kIrtay	saMkIrt
kuc	anukuc
kuc	avakuc
kuc	Akuc
kuc	samAkuc
kuc	utkuc
kuc	saMnikuc
kuc	vikuc
kuc	saMkuc
kuw	prakuw
kuw	utkuw
kuw	vikuw
kuw	saMkuw
kuww	vikuww
kuRW	vikuRW
kuRW	avakuRW
kutsay	aBikutsay
kutsay	aBikuts
kuT	nikuT
kuT	prakuT
kunT	pranikunT
kup	atikup
kup	parikup
kup	prakup
kup	pratikup
kup	saMkup
kuz	anukuz
kuz	aBikuz
kuz	avakuz
kuz	nizkuz
kuz	aBinizkuz
kuz	vikuz
kuz	saMkuz
kU	AkU
kUj	anukUj
kUj	aBikUj
kUj	avakUj
kUj	AkUj
kUj	utkUj
kUj	protkUj
kUj	upakUj
kUj	nikUj
kUj	nizkUj
kUj	parikUj
kUj	prakUj
kUj	pratikUj
kUj	vikUj
kUj	saMkUj
kUq	upakUq
kUR	nikUR
kUR	vikUR
kUrd	atikUrd
kUrd	utkUrd
kUrd	prakUrd
kUl	avakUl
kfpAy	anukfpAy
kfpAy	anukfpAya
ketay	saMketay
ketay	saMketaya
knUy	aBiknUy
krakz	avakrakz
kraT	utkraT
krand	anukrand
krand	aBikrand
krand	avakrand
krand	aByavakrand
krand	Akrand
krand	samAkrand
krand	nikrand
krand	parikrand
krand	prakrand
krand	vikrand
krand	saMkrand
krap	anukrap
kram	atikram
kram	atyatikram
kram	aByatikram
kram	samaByatikram
kram	vyatikram
kram	samatikram
kram	aDikram
kram	anukram
kram	samanukram
kram	apakram
kram	anvapakram
kram	aByapakram
kram	vyapakram
kram	aBikram
kram	samaBikram
kram	avakram
kram	anvavakram
kram	Akram
kram	atyAkram
kram	aDyAkram
kram	anvAkram
kram	apAkram
kram	aByAkram
kram	upAkram
kram	samupAkram
kram	nirAkram
kram	pratyAkram
kram	samAkram
kram	utkram
kram	atyutkram
kram	anUtkram
kram	aByutkram
kram	upotkram
kram	pratyutkram
kram	vyutkram
kram	samutkram
kram	upakram
kram	pratyupakram
kram	samupakram
kram	nikram
kram	anunikram
kram	aBinikram
kram	nizkram
kram	anunizkram
kram	aBinizkram
kram	upanizkram
kram	vinizkram
kram	parAkram
kram	parikram
kram	anuparikram
kram	viparikram
kram	saMparikram
kram	prakram
kram	aBiprakram
kram	samprakram
kram	pratikram
kram	anupratikram
kram	vikram
kram	aDivikram
kram	anuvikram
kram	nirvikram
kram	saMkram
kram	anusaMkram
kram	aBisaMkram
kram	upasaMkram
kram	pratisaMkram
krI	anukrI
krI	apakrI
krI	aBikrI
krI	avakrI
krI	AkrI
krI	upakrI
krI	nizkrI
krI	parikrI
krI	prakrI
krI	vikrI
krI	saMkrI
krIq	aDikrIq
krIq	anukrIq
krIq	avakrIq
krIq	AkrIq
krIq	samAkrIq
krIq	upakrIq
krIq	nikrIq
krIq	parikrIq
krIq	prakrIq
krIq	vikrIq
krIq	saMkrIq
krIq	parisaMkrIq
kruD	aBikruD
kruD	samaBikruD
kruD	parikruD
kruD	pratikruD
kruD	saMkruD
kruD	aBisaMkruD
kruS	atikruS
kruS	anukruS
kruS	apakruS
kruS	aBikruS
kruS	avakruS
kruS	AkruS
kruS	aByAkruS
kruS	pratyAkruS
kruS	vyAkruS
kruS	samAkruS
kruS	utkruS
kruS	aByutkruS
kruS	protkruS
kruS	samutkruS
kruS	upakruS
kruS	parikruS
kruS	prakruS
kruS	vikruS
kruS	saMkruS
kruS	aBisaMkruS
klam	pariklam
klam	viklam
klav	viklav
klid	avaklid
klid	Aklid
klid	samAklid
klid	utklid
klid	upaklid
klid	pariklid
klid	praklid
klid	viklid
klid	saMklid
kliS	utkliS
kliS	samutkliS
kliS	parikliS
kliS	prakliS
kliS	samprakliS
kliS	vikliS
kliS	saMkliS
kvaR	upakvaR
kvaR	nikvaR
kvaR	parikvaR
kvaR	prakvaR
kvaT	utkvaT
kvaT	nikvaT
kvaT	nizkvaT
kvaT	parikvaT
kzad	aBikzad
kzan	upkzan
kzan	parikzan
kzan	vikzan
kzan	aBivikzan
kzan	parivikzan
kzap	saMkzap
kzam	aBikzam
kzam	saMkzam
kzar	atikzar
kzar	aByatikzar
kzar	anukzar
kzar	aBikzar
kzar	avakzar
kzar	Akzar
kzar	upakzar
kzar	parikzar
kzar	prakzar
kzar	aBiprakzar
kzar	plakzar
kzar	vikzar
kzar	saMkzar
kzal	avakzal
kzal	parikzal
kzal	prakzal
kzal	aBiprakzal
kzal	vikzal
kzA	apakzA
kzA	apakzE
kzA	apikzA
kzA	apikzE
kzA	avakzA
kzA	avakzE
kzA	parikzA
kzA	parikzE
kzA	prakzA
kzA	prakzE
kzA	samprakzA
kzA	samprakzE
kzA	vikzA
kzA	vikzE
kzA	saMkzA
kzA	saMkzE
kzi	aDikzi
kzi	Akzi
kzi	upakzi
kzi	parikzi
kzi	pratikzi
kzi	saMkzi
kzi	nukzi
kzi	apakzi
kzi	avakzi
kzi	nizkzi
kzi	prakzi
kzi	vikzi
kzip	atikzip
kzip	aDikzip
kzip	apakzip
kzip	aBikzip
kzip	avakzip
kzip	samavakzip
kzip	Akzip
kzip	paryAkzip
kzip	vyAkzip
kzip	samAkzip
kzip	utkzip
kzip	protkzip
kzip	samutkzip
kzip	upakzip
kzip	nikzip
kzip	upanikzip
kzip	pratinikzip
kzip	vinikzip
kzip	saMnikzip
kzip	nizkzip
kzip	parAkzip
kzip	parikzip
kzip	prakzip
kzip	samprakzip
kzip	pratikzip
kzip	vikzip
kzip	saMkzip
kzip	aBisaMkzip
kzip	upasaMkzip
kzip	parisaMkzip
kzIb	prakzIb
kzu	avakzu
kzu	parikzu
kzud	avakzud
kzud	prakzud
kzud	vikzud
kzud	saMkzud
kzuD	vikzuD
kzuB	nikzuB
kzuB	prakzuB
kzuB	samprakzuB
kzuB	vikzuB
kzuB	parivikzuB
kzuB	saMkzuB
kzRu	avakzRu
kzRu	AkzRu
kzRu	prakzRu
kzRu	saMkzRu
kzmAy	vikzmAy
kzviq	Akzviq
kzvid	utkzvid
kzvid	nikzvid
kzvid	prakzvid
Kac	utKac
Kac	pariKac
KaRqay	avaKaRqay
KaRqay	avaKaRq
KaRqay	AKaRqay
KaRqay	AKaRq
KaRqay	utKaRqay
KaRqay	utKaRq
KaRqay	pariKaRqay
KaRqay	pariKaRq
KaRqay	viKaRqay
KaRqay	viKaRq
Kad	praniKad
Kan	aBiKan
Kan	AKan
Kan	utKan
Kan	protKan
Kan	samutKan
Kan	niKan
Kan	nisKan
Kan	pariKan
Kan	praKan
Kan	viKan
KA	protKA
KA	protKE
KAd	avaKAd
KAd	AKAd
KAd	praniKAd
KAd	praKAd
KAd	viKAd
KAd	saMKAd
Kid	AKid
Kid	utKid
Kid	niKid
Kid	nisKid
Kid	pariKid
Kid	praKid
Kid	viKid
Kid	saMKid
Kud	praKud
KyA	atiKyA
KyA	anuKyA
KyA	antarKyA
KyA	aBiKyA
KyA	avaKyA
KyA	AKyA
KyA	anvAKyA
KyA	aByAKyA
KyA	udAKyA
KyA	upAKyA
KyA	pratyAKyA
KyA	vyAKyA
KyA	anuvyAKyA
KyA	upavyAKyA
KyA	samAKyA
KyA	upaKyA
KyA	parAKyA
KyA	pariKyA
KyA	saMpariKyA
KyA	praKyA
KyA	pratiKyA
KyA	viKyA
KyA	aBiviKyA
KyA	saMKyA
KyA	anusaMKyA
KyA	aBisaMKyA
KyA	upasaMKyA
KyA	parisaMKyA
KyA	prasaMKyA
KyA	pratisaMKyA
gaRay	aDigaRay
gaRay	aDigaR
gaRay	anugaRay
gaRay	anugaR
gaRay	avagaRay
gaRay	avagaR
gaRay	AgaRay
gaRay	AgaR
gaRay	parigaRay
gaRay	parigaR
gaRay	pragaRay
gaRay	pragaR
gaRay	vigaRay
gaRay	vigaR
gaRay	samgaRay
gaRay	samgaR
gad	anugad
gad	praRyAgad
gad	nigad
gad	aBinigad
gad	pariRigad
gad	praRigad
gad	pratinigad
gad	vinigad
gad	parigad
gad	pragad
gad	pratigad
gad	vigad
gaD	AgaD
gaD	parigaD
gam	acCagam
gam	atigam
gam	upAtigam
gam	vyatigam
gam	aDigam
gam	samaDigam
gam	anugam
gam	samanugam
gam	antargam
gam	apagam
gam	vyapagam
gam	apigam
gam	aBigam
gam	samaBigam
gam	aramgam
gam	avagam
gam	aDyavagam
gam	pratyavagam
gam	samavagam
gam	Agam
gam	aDyAgam
gam	anvAgam
gam	samanvAgam
gam	aByAgam
gam	samaByAgam
gam	avAgam
gam	samudAgam
gam	upAgam
gam	aByupAgam
gam	paryupAgam
gam	samupAgam
gam	nyAgam
gam	pratinyAgam
gam	paryAgam
gam	pratyAgam
gam	sampratyAgam
gam	samAgam
gam	aBisamAgam
gam	udgam
gam	apodgam
gam	aByudgam
gam	prodgam
gam	pratyudgam
gam	samudgam
gam	upagam
gam	aByupagam
gam	samupagam
gam	nigam
gam	upanigam
gam	saMnigam
gam	vinigam
gam	nirgam
gam	aBinirgam
gam	vinirgam
gam	saMnirgam
gam	parAgam
gam	anuparAgam
gam	parigam
gam	pragam
gam	vipragam
gam	pratigam
gam	vigam
gam	pravigam
gam	samgam
gam	anusamgam
gam	aBisamgam
gam	upasamgam
gar	anugar
gar	anugF
gar	apagar
gar	apagF
gar	apigar
gar	apigF
gar	aBigar
gar	aBigF
gar	Agar
gar	AgF
gar	pratyAgar
gar	pratyAgF
gar	upagar
gar	upagF
gar	pragar
gar	pragF
gar	sampragar
gar	sampragF
gar	pratigar
gar	pratigF
gar	aBipratigar
gar	aBipratigF
gar	vigar
gar	vigF
gar	samgar
gar	samgF
gar	aBisamgar
gar	aBisamgF
gar	avagar
gar	avagF
gar	udgar
