aca,ancu
aRaka,anaka
anEpuRa,AnEpuRa
anESvaryya,AnESvaryya
antavAsin,antevAsin
andola,Andola
abda,avda
aBimanTa,aDimanTa
amuzyAyaRa,AmuzyAyaRa
arawu,aralu
arttagala,Arttagala
avacUqa,avacUla
aSri,aSrI
ahituRqika,AhituRqika
AkOSala,akOSala
Agamin,AgAmin
AnEpuRa,anEpuRa
AnESvaryya,anESvaryya
iqA,ilA
ilA,elA
uqumbara,udumbara
upadiS,upadiSa
upastamBa,upazwamBa
urRRanABa,UrRRanABa
urdda,Urdda
urva,Urva
ulaqa,olaqa
uzman,Uzman
kaqatra,kalatra
kapAwaGna,kavAwaGna
kastIra,kAstIra
kunaha,kunawa
kubera,kuvera
kuberAcala,kuverAcala
kurdda,kUrdda
kurpara,kUrpara
kurpAsa,kUrpAsa
kuvika,kucika
kuSIda,kusIda
kUpa,kupa
kfzRaSAra,kfzRasAra
keSara,kesara
keSarin,kesarin
keSarisuta,kesarisuta
krunca,kruYca
kzIba,kzIva
kzIba,kzIva
ganDoli,ganDolI
girita,gilita
gizRu,gezRu
gucCa,gutsa
gurdda,gUrdda
gurdda,gUrdda
guvAka,gUvAka
gozaRi,gosani
Gaza,Gasa
caYcula,cuYcula
cucuka,cucUka
cOli,cOqi
jAmitra,yAmitra
tanuruha,tanUruha
tari,tarI
tuKAra,tuzAra
tulinI,tUlinI
tuliPalA,tUliPalA
tfca,tryfca
trapuza,trapusa
trapusa,trapuza
tripizwapa,trivizwapa
dASa,dAsa
dASa,dAsa
duHsTa,dusTa
durRaya,durnaya
dusTa,duHsTa
duhya,dohya
duhyu,druhyu
devatiTi,devAtiTi
naqa,nala
naqamIna,nalamIna
nAli,nAlI
niHkzepa,nikzepa
nivAra,nIvAra
niHzWA,nizWA
nizyanda,nisyanda
nihAra,nIhAra
nIkAra,nikAra
nIDra,nIvra
neta,neda
nemiSa,nEmiSa
paYjara,piYjara
pawwana,pattana
paRasya,panasya
parASarin,pArASarin
pariGa,paliGa
pariramBa,parIramBa
piRqi,piRqI
piSa,pisa
puzkalaka,puzyalaka
peSala,peza
pEla,leya
praGuRa,prAGuRa
pratikAra,pratIkAra
pratikASa,pratIkASa
pratipa,pratIpa
pratIkAra,pratikAra
pratIkASa,pratikASa
pratIGAta,pratiGAta
pravawa,prAvawa
preza,prEza
Pulta,Pulla
baDU,vaDU
baDUwI,vaDUwI
baha,vaha
bAqa,vAqa
bARa,vARa
bAdara,vAdara
bAdarAyaRa,vAdarAyaRa
bAha,vAha
biwa,viwa
buza,busa
bfha,vfha
bfhaccaYcu,vfhaccaYcu
bfhacCalka,vfhacCalka
bfhat,vfhat
bfhatIpati,vfhatIpati
bfhatkanda,vfhatkanda
bfhatkAlaSAka,vfhatkAlaSAka
bfhatkukzi,vfhatkukzi
bfhattAla,vfhattAla
bfhattiktA,vfhattiktA
bfhattfRa,vfhattfRa
bfhattvac,vfhattvac
bfhatpatra,vfhatpatra
bfhatpAwali,vfhatpAwali
bfhatpAda,vfhatpAda
bfhatpAlin,vfhatpAlin
bfhatpIlu,vfhatpIlu
bfhadaNga,vfhadaNga
bfhadamla,vfhadamla
bfhadelA,vfhadelA
bfhadgola,vfhadgola
bfhaddala,vfhaddala
bfhadDala,vfhadDala
bfhadBAnu,vfhadBAnu
bfhadraTa,vfhadraTa
bfhadrAvin,vfhadrAvin
bfhadvalka,vfhadvalka
bfhadvAta,vfhadvAta
bfhadvAruRI,vfhadvAruRI
bfhadvIja,vfhadvIja
bfhannala,vfhannala
beha,veha
byaDa,vyaDa
braRa,vraRa
BaraRyu,BuraRyu
BUmi,BUmI
Brakza,Blakza
mahira,mihira
muzasa,musa
musalin,muza
musalya,muza
laSa,laza
vAdarAyaRa,bAdarAyaRa
vADa,bADa
vADa,bADa
vinAha,vInAha
viSakaRWA,viza
vIkASa,vikASa
Saktu,saktu
Sawa,SaWa
SaraRi,saraRi
Sarayu,sarayu
Sarala,sarala
Salmali,SAlmali
SAyaka,sAyaka
SikTa,sikTa
SimbA,simbA
Sihla,sihla
SItya,sItya
SfgAla,sfgAla
SfRi,sfRi
SruGna,sruGna
SruvAvfkza,sruvAvfkza
zaRqa,SaRqa
sambAkfta,SambAkfta
sasana,Sasana
sAlA,SAlA
sAlAvfka,SAlAvfka
sAlUra,SAlUra
sAleya,SAleya
sAlva,SAlva
sAvara,SAvara
sIvana,sevana
suwwa,zuwwa
sutrAman,sUtrAman
sUrkza,zUrkza
stepa,zwepa
smi,zmi
hasa,hAsa
huNkAra,hUNkAra
abBraMliha,aBraMliha
abBraka,aBraka
abBraNkaza,aBraNkaza
abBri,aBri
abBriya,aBriya
ahaHkara,ahaskara
fzizeRa,fzwizeRa
kfmi,krimi
kzurapra,Kurapra
kzulla,Kulla
gozWAzwamI,gopAzwamI
candaka,candraka
paryyaNka,palyaNka
maRWa,maWa
abBra,aBra
iq,ila
koSa,koza
gopada,gozpada
paSa,pasa
