aMGri,aMhriH
aRaka,anaka
aBika,aBIka
AmanasyaM,AmAnasyaM
kawAkuH,kaWAkuH
kaqatraM,kalatraM
kaqaMbaH,kalaMbaH
kavara,kabara
kuraraH,kuralaH
kurparaH,kUrparaH
kUpAraH,kUvAraH
kUbara,kUvara
gaMquH,gaMqUH
gizRuH,gezRuH
gUrd,gurd
jawulaH,jaqulaH
dASeyaH,dAseyaH
niviqa,nibiqa
pariRAhaH,parIRAhaH
pratinAhaH,pratInAhaH
pramaRas,pramanas
BrAS,BlAS
mahar,mahas
reb,rev
Sabala,Savala
SAbara,SAvara
SibikA,SivikA
Sur,SUra
hfRIyate,hriRIyate
pUpalA,pUlikA
